season,week,contestant,method,stability_score,mean_elimination_prob,std_elimination_prob,max_elimination_prob,min_elimination_prob,depends_on_long_tail
11,1,Bristol Palin,rank_rank,0.24614129646871405,0.05254591880138407,0.06616590791291109,0.24614129646871405,0.0,0.0
11,2,Bristol Palin,rank_rank,0.3405573930146349,0.14885849021632688,0.07072162208386619,0.3405573930146349,0.0,0.0
11,3,Bristol Palin,rank_rank,0.28568711372197114,0.07409209310564427,0.07033086592480801,0.28568711372197114,0.0,0.0
11,4,Bristol Palin,rank_rank,0.2952427762132504,0.060801270318725266,0.06293691894136783,0.2952427762132504,0.0,0.0
11,5,Bristol Palin,rank_rank,0.34981972854718724,0.10289323862045854,0.08033256112128583,0.34981972854718724,0.0,0.0
11,6,Bristol Palin,rank_rank,0.262902051424279,0.05771479340174939,0.06124651997893926,0.262902051424279,0.0,0.0
11,7,Bristol Palin,rank_rank,0.42043773825229835,0.15188128099900153,0.09226212542289955,0.42043773825229835,0.0,0.0
11,8,Bristol Palin,rank_rank,0.3063322078894375,0.1294688319289909,0.07933715971607597,0.3063322078894375,0.0,0.0
11,9,Bristol Palin,rank_rank,0.42027727822990724,0.17786249994598777,0.09213844180987098,0.42027727822990724,0.0,0.0
11,10,Bristol Palin,rank_rank,0.4064974213205089,0.1752408768494924,0.08786502445539295,0.4064974213205089,0.0,0.0
15,1,Bristol Palin,rank_rank,0.27417573583755833,0.07340186939631295,0.06856635909699546,0.27417573583755833,0.0,0.0
15,2,Bristol Palin,rank_rank,0.35641988416683446,0.08193307768554138,0.07330013627936177,0.35641988416683446,0.0,0.0
15,3,Bristol Palin,rank_rank,0.2812292708875422,0.08032030864350659,0.07175034636377156,0.2812292708875422,0.0,0.0
15,4,Bristol Palin,rank_rank,0.2370252120676046,0.042065475467658334,0.06191447201196081,0.2370252120676046,0.0,0.0
