season,week,contestant,method1,method2,prob_method1,prob_method2,prob_difference,benefit_from_method1
11,1,Bristol Palin,rank_rank,percent_rank,0.037500000000000006,0.0641025641025641,-0.02660256410256409,false
11,2,Bristol Palin,rank_rank,percent_rank,0.14492753623188406,0.13636363636363635,0.00856389986824771,true
11,3,Bristol Palin,rank_rank,percent_rank,0.08928571428571427,0.05454545454545454,0.03474025974025973,true
11,4,Bristol Palin,rank_rank,percent_rank,0.041666666666666664,0.044444444444444446,-0.002777777777777782,false
11,5,Bristol Palin,rank_rank,percent_rank,0.10526315789473684,0.05555555555555555,0.049707602339181284,true
11,6,Bristol Palin,rank_rank,percent_rank,0.03333333333333333,0.10714285714285714,-0.0738095238095238,false
11,7,Bristol Palin,rank_rank,percent_rank,0.13636363636363635,0.09523809523809523,0.04112554112554112,true
11,8,Bristol Palin,rank_rank,percent_rank,0.125,0.13333333333333333,-0.008333333333333331,false
11,9,Bristol Palin,rank_rank,percent_rank,0.18181818181818182,0.2,-0.018181818181818188,false
11,10,Bristol Palin,rank_rank,percent_rank,0.16666666666666666,0.16666666666666666,0.0,false
15,1,Bristol Palin,rank_rank,percent_rank,0.06451612903225806,0.03296703296703297,0.031549096065225095,true
15,2,Bristol Palin,rank_rank,percent_rank,0.08860759493670886,0.02564102564102564,0.06296656929568323,true
15,3,Bristol Palin,rank_rank,percent_rank,0.08695652173913043,0.045454545454545456,0.04150197628458498,true
15,4,Bristol Palin,rank_rank,percent_rank,0.02127659574468085,0.022222222222222223,-0.0009456264775413725,false
