season,week,n_contestants,beta_rank,beta_pct,delta_fsi
4,2,11,10.98531996861621,1.0299748300702793,-9.95534513854593
8,2,13,15.738562697653654,1.1093957210922525,-14.629166976561402
11,6,7,4.304833898912363,0.6671667440472018,-3.637667154865161
14,9,4,1.9805942690479392,0.91039855185227,-1.070195717195669
15,6,8,-0.31218833361600595,0.8444290985545065,1.1566174321705125
17,5,9,5.375783313565135,0.8247426657973298,-4.551040647767805
17,7,8,7.172513124808214,1.0666138125111264,-6.105899312297088
19,4,10,9.770518948007906,1.0470250478918475,-8.723493900116058
19,6,9,9.907813850808857,0.992017639501805,-8.915796211307052
20,2,12,11.432620866330765,0.870365639282254,-10.562255227048512
20,5,9,10.29136279697564,1.3644246711516919,-8.926938125823948
20,7,7,5.504620167221741,0.7677999040549885,-4.736820263166753
20,9,4,3.6016743510261726,0.9684950045205875,-2.6331793465055853
21,7,8,9.574851856113685,0.9936063903140189,-8.581245465799666
21,9,6,5.681507793329347,0.9665804353685825,-4.7149273579607645
22,8,6,4.812328157303654,0.7634826288137364,-4.048845528489917
23,2,13,18.790199841295212,1.3823443206592703,-17.40785552063594
23,10,5,3.3109169197587955,0.9293794362937273,-2.381537483465068
24,9,4,1.983562201512962,0.7981356821527926,-1.1854265193601692
27,4,10,6.838710519104785,0.724759675783614,-6.113950843321171
28,2,12,45.05049933836579,1.6305396391987594,-43.41995969916703
28,4,10,25.041393299115274,1.742239804372345,-23.299153494742928
28,6,9,4.258959159245261,0.9654878574303781,-3.293471301814883
28,7,8,15.96140492166388,1.2776026467610915,-14.683802274902789
29,10,6,5.457918286073747,0.8326659500628044,-4.625252336010943
30,3,14,19.984847895036328,0.8698729772431282,-19.114974917793198
30,5,11,14.811062456314996,0.8634500058672203,-13.947612450447776
31,8,8,33.41757620856208,1.4085730680659185,-32.00900314049616
34,4,11,9.536779471096674,0.9257624290517907,-8.611017042044883
34,7,9,12.887301293115755,0.9175262897663428,-11.969775003349412
