season,week,contestant_id,estimated_fan_share,is_eliminated,judge_score_raw,n_judges,celebrity_name,ballroom_partner,celebrity_age_during_season,celebrity_industry,industry_std,placement,is_withdrew,age_centered,log_fan_share,judge_score,gender
1,1,Evander Holyfield_S1,0.17241961900574046,false,6.0,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,Athlete,5,false,5.83199415631848,-1.7578183281027515,6.0,0
1,1,Joey McIntyre_S1,0.16770444464477868,false,6.666666666666667,3,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,Singer,3,false,-4.16800584368152,-1.7855461441041003,6.666666666666667,0
1,1,John O'Hurley_S1,0.17262202718872263,false,6.666666666666667,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Actor,2,false,13.83199415631848,-1.7566450956237187,6.666666666666667,0
1,1,Kelly Monaco_S1,0.17328374973011976,false,4.333333333333333,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,Actor,1,false,-7.16800584368152,-1.7528190853819023,4.333333333333333,0
1,1,Rachel Hunter_S1,0.1451327927716432,false,6.666666666666667,3,Rachel Hunter,Jonathan Roberts,35,Model,Model,4,false,-1.1680058436815202,-1.9300992532256656,6.666666666666667,0
1,1,Trista Sutter_S1,0.16883736665899535,false,6.0,3,Trista Sutter,Louis van Amstel,32,TV Personality,TV,6,false,-4.16800584368152,-1.7788134320130244,6.0,0
1,2,Evander Holyfield_S1,0.20500052418654574,false,4.666666666666667,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,Athlete,5,false,5.83199415631848,-1.584737864815048,4.666666666666667,0
1,2,Joey McIntyre_S1,0.17404392873611713,false,7.0,3,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,Singer,3,false,-4.16800584368152,-1.7484418019712538,7.0,0
1,2,John O'Hurley_S1,0.1708739215342281,false,8.666666666666666,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Actor,2,false,13.83199415631848,-1.7668234431379644,8.666666666666666,0
1,2,Kelly Monaco_S1,0.18826022841012105,false,5.666666666666667,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,Actor,1,false,-7.16800584368152,-1.6699247678119988,5.666666666666667,0
1,2,Rachel Hunter_S1,0.14033548122822623,false,8.0,3,Rachel Hunter,Jonathan Roberts,35,Model,Model,4,false,-1.1680058436815202,-1.9637123026643926,8.0,0
1,2,Trista Sutter_S1,0.12148591590476082,true,6.333333333333333,3,Trista Sutter,Louis van Amstel,32,TV Personality,TV,6,false,-4.16800584368152,-2.1079487100269656,6.333333333333333,0
1,3,Evander Holyfield_S1,0.18351336075987115,true,4.333333333333333,3,Evander Holyfield,Edyta Sliwinska,42,Athlete,Athlete,5,false,5.83199415631848,-1.69546235427791,4.333333333333333,0
1,3,Joey McIntyre_S1,0.20966288994042356,false,7.333333333333333,3,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,Singer,3,false,-4.16800584368152,-1.562249554564894,7.333333333333333,0
1,3,John O'Hurley_S1,0.20756516212744525,false,8.0,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Actor,2,false,13.83199415631848,-1.5723051365081562,8.0,0
1,3,Kelly Monaco_S1,0.22219985985309054,false,7.0,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,Actor,1,false,-7.16800584368152,-1.5041735320582148,7.0,0
1,3,Rachel Hunter_S1,0.17705872731916916,false,8.666666666666666,3,Rachel Hunter,Jonathan Roberts,35,Model,Model,4,false,-1.1680058436815202,-1.7312681608480356,8.666666666666666,0
1,4,Joey McIntyre_S1,0.31705836314900926,false,6.666666666666667,3,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,Singer,3,false,-4.16800584368152,-1.148666257182555,6.666666666666667,0
1,4,John O'Hurley_S1,0.2722063403150867,false,7.0,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Actor,2,false,13.83199415631848,-1.3011912225042397,7.0,0
1,4,Kelly Monaco_S1,0.23259433257357334,false,8.666666666666666,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,Actor,1,false,-7.16800584368152,-1.458455105420601,8.666666666666666,0
1,4,Rachel Hunter_S1,0.17814096396233026,true,8.333333333333334,3,Rachel Hunter,Jonathan Roberts,35,Model,Model,4,false,-1.1680058436815202,-1.7251744962141597,8.333333333333334,0
1,5,Joey McIntyre_S1,0.31825280797712857,true,7.5,3,Joey McIntyre,Ashly DelGrosso,32,Singer/Rapper,Singer,3,false,-4.16800584368152,-1.144906076252094,7.5,0
1,5,John O'Hurley_S1,0.33262596419681756,false,9.0,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Actor,2,false,13.83199415631848,-1.1007336445628464,9.0,0
1,5,Kelly Monaco_S1,0.3491212278260535,false,7.833333333333333,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,Actor,1,false,-7.16800584368152,-1.0523331950961807,7.833333333333333,0
1,6,John O'Hurley_S1,0.4254459631813912,false,9.0,3,John O'Hurley,Charlotte Jorgensen,50,Actor/Actress,Actor,2,false,13.83199415631848,-0.8546149846098217,9.0,0
1,6,Kelly Monaco_S1,0.5745540368186088,false,9.166666666666666,3,Kelly Monaco,Alec Mazo,29,Actor/Actress,Actor,1,false,-7.16800584368152,-0.5541593867716085,9.166666666666666,0
2,1,Drew Lachey_S2,0.10140506600939253,false,8.0,3,Drew Lachey,Cheryl Burke,29,Singer/Rapper,Singer,1,false,-7.16800584368152,-2.288622367036518,8.0,0
2,1,George Hamilton_S2,0.10586074928519781,false,6.0,3,George Hamilton,Edyta Sliwinska,66,Actor/Actress,Actor,5,false,29.83199415631848,-2.2456212881734468,6.0,0
2,1,Giselle Fernandez_S2,0.09856035685304212,false,7.666666666666667,3,Giselle Fernandez,Jonathan Roberts,44,News Anchor,TV,8,false,7.83199415631848,-2.3170760125197516,7.666666666666667,0
2,1,Jerry Rice_S2,0.10509421807380434,false,7.0,3,Jerry Rice,Anna Trebunskaya,43,Athlete,Athlete,2,false,6.83199415631848,-2.2528885009563675,7.0,0
2,1,Kenny Mayne_S2,0.055312421935051016,true,4.333333333333333,3,Kenny Mayne,Andrea Hale,46,Sports Broadcaster,TV,10,false,9.83199415631848,-2.8947396886005596,4.333333333333333,0
