method,mean_stability,min_stability,max_stability,std_stability,noise_level
fan_rank,0.46709956709956707,0.2857142857142857,0.6666666666666666,0.1316294969571092,0.0
fan_rank,0.5654761292338927,0.3576394595780997,0.7988994849002328,0.13121756623434325,0.05
fan_rank,0.7389786794151643,0.5684609889121656,0.9506553494309546,0.12161976792953337,0.1
fan_rank,0.8676077196824196,0.7145652402574827,1.0,0.13235431169133083,0.15
fan_rank,0.931774586595342,0.7625610357009441,1.0,0.09719153641654467,0.2
judge_rank,0.43423848878394333,0.22727272727272727,0.6666666666666666,0.12525126329999614,0.0
judge_rank,0.5572364294763245,0.34161823898538496,0.7988994849002328,0.1285207440678935,0.05
judge_rank,0.7326911766187467,0.4825401262083457,0.9506553494309546,0.12669630336307533,0.1
judge_rank,0.8901022718103501,0.6360812760155204,1.0,0.12357878335100905,0.15
judge_rank,0.9465897743977927,0.6671979230413773,1.0,0.10629991864065551,0.2
rank_rank,0.45336481700118064,0.26666666666666666,0.6666666666666666,0.14097874219136078,0.0
rank_rank,0.5570735293070496,0.37144259377379346,0.7988994849002328,0.14077966744290824,0.05
rank_rank,0.7046855926695493,0.5271889427676113,0.9710834074601052,0.1506459437644123,0.1
rank_rank,0.8602175202233519,0.6588704402567537,1.0,0.13052322459325616,0.15
rank_rank,0.9392967434718315,0.7741704964321251,1.0,0.08520326310337042,0.2
percent_rank,0.46709956709956707,0.2857142857142857,0.6666666666666666,0.13162949695710915,0.0
percent_rank,0.564289735514099,0.37118580183634386,0.7988994849002328,0.13319404345215083,0.05
percent_rank,0.7323866867583344,0.5447816255998575,0.9506553494309546,0.13248027989029812,0.1
percent_rank,0.9073964354771431,0.6932689702047071,1.0,0.11760579178760233,0.15
percent_rank,0.9575934643666769,0.7908430542378558,1.0,0.07837811552335325,0.2
